Názov,Kraj,Okres,Obec,Popis obce,Lokalita,GPS,Popis fotky,Zoznam padlych,Datum narodenia,Datum umrtia
"Tabuľa padlým v I. svetovej vojne, Plavecký Mikuláš",Bratislavský,Malacky,Plavecký Mikuláš,Obec Plavecký Mikuláš leží na západnom Slovensku v Bratislavskom samosprávnom kraji. Administratívne prináleží do okresu Malacky a prvá písomná zmienka pochádza z roku 1394. V obci na Záhorí v súčasnosti žije vyše 800 obyvateľov.,Tabuľa sa nachádza vľavo od vchodu do Rímskokatolíckeho kostola sv. Floriána,48.509605 17.304825,"Na snímke je tabuľa na pamiatku padlých vojakov v I. svetovej vojne, na ktorej figuruje 33 mien vojakov.","Mikuláš Kočíšek
Ignác Petrašovič
Štefan Hložek
František Baluch
Michal Zahradník
Andrej Jurík
Pavel Krchňák
Štefan Chudý
Pavel Blahovič
Fabian Baluch
Šimon Gašpar
Jozef Kovár
Imrich Horňák
Gabriel Ochránek
Bartolomej Roman
Gašpar Hečko
Jozef Sedláček
Štefan Krchňák
Ján Baluch
Mikuláš Roman
Jozef Petráš
Vavrinec Schultz
Tomáš Baluch
Alfonz Pilárik
Jozef Pilárik
Ján Dobrovodský
Michal Hutera
Pavel Mikuš
Ján Ščepka
Jozef Kiripolský
Tomáš Mračka","-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-","1914
1914
1914
1914
1914
1915
1915
1915
1915
1915
1915
1915
1915
1915
1915
1915
1915
1916
1916
1916
1916
1916
1916
1917
1917
1917
1917
1917
1917
1917
1918"
"Pomník padlým v prvej a druhej svetovej vojne, Plavecký Štvrtok",Bratislavský,Malacky,Plavecký Štvrtok,"Obec Plavecký Štvrtok leží na juhu strednej oblasti Záhorskej nížiny v Bratislavskom samosprávnom kraji, v okrese Malacky. Prvá písomná zmienka pochádza z roku 1206 a v súčasnosti tu žije vyše 2300 ľudí.",Pomník sa nachádza na priestranstve pred Rímskokatolíckym kostolom Nanebovzatia Panny Márie.,48.375163 16.996245,"Na snímke je pomník padlým vojakom v I. a II. svetovej vojne, na ktorej figuruje 34 mien padlých v I. a 3 padlí vojaci v II. svetovej vojne. Výstavbu pomníka v roku 1932 finančne podporili americkí Slováci.","Michal Bartalský
Valent Blažek
Ladislav Danihel
Matej Danihel
Pavel Danihel
Ján Dorčič
Šebesta Dudášek
Karol Haček
František Hanuš
Ján Havlík
Gregor Chmela
Štefan Chmela
Pavel Chomucký
Ján Jarásek
Jozef Johanes
Martin Johanes
Pavel Jurica
Štefan Klačka
Karol Kovár
František Krajčír
Ján Mach
Ján Mach
Ján Marcinec
Tomáš Mifkovič
Štefan Míček
Filip Novotný
Štefan Ort-Mertl
Martin Ort-Šnep
Matúš Petrík
Ernest Preisinger
Florián Snopek
František Štefanovič
Vendelín Štefek
Jakub Zobok","-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-","-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-"
"Kríž na pamiatku padlých vojakov v prvej svetovej vojne a tabuľa padlým vojakom v druhej svetovej vojne, Rohožník",Bratislavský,Malacky,Rohožník,Obec Rohožník leží v Záhorskej nížine na úpätí Malých Karpát v okrese Malacky v Bratislavskom samosprávnom kraji. Prvá písomná zmienka pochádza z roku 1532 a v súčasnosti tu žije okolo 3500 obyvateľov.,Ústredný kríž na miestnom cintoríne.,48.455898 17.168328,"Na snímke je kríž na pamiatku padlých vojakov v I. svetovej vojne a tabuľa padlým vojakov v II. svetovej vojne, na ktorej figuruje 27 mien padlých v I. a 7 mien padlých vojakov v II. svetovej vojne. Výstavbu pomníka v roku 1920 finančne podporili americkí Slováci.","Josef Čapanda
Štefan Chrupka
Josef Chvala
Josef Dávid
Pavel Drahoš
Ján Fuksa
Matuš Fuksa
Marek Fuksa
Josef Hermann
Antoš Ivica
Izidor Knapek
Matej Knapek
Pavel Kočiš
František Kočíšek
Ondrej Kočíšek
Tomáš Krátky
Ján Lukáč
Antoš Ondrovič
Ignác Polák
Štepán Polák
Antoš Ralbovský
Eduard Radič
Ondrej Roman
Ján Rybárik
Štefan Sedlák
František Ščepka
Ján Sidlík","-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-","-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-"
"Pomník padlým v I. a II. svetovej vojne a počas oslobodzovania obce, Sološnica",Bratislavský,Malacky,Sološnica,Obec Sološnica leží na východe Záhorskej nížiny na úpätí Malých Karpát v Bratislavskom samosprávnom kraji v okres Malacky. Prvá písomná zmienka o dedine pochádza z roku 1367 a v súčasnosti tu žije vyše 1500 obyvateľov.,Pomník sa nachádza na námestí v obci medzi zastávkou SAD a miestnou poštou.,48.466404 17.229801,"Foto: Na pomníku sa nachádza 66 mien padlých vojakov v prvej a 9 mien padlých vojakov v druhej svetovej vojne. Autorom pomníka, ktorý bol postavený v roku 1929 je Alojz Rigele.","Jozef Bakan
Jozef Bartek
Florián Dinuš
Ferdinand Dobrovodský
Ján Dobrovodský
Ferdinand Eliaš
Móric Frankl
Jozef Frühauf
Daniel Hlavatý
Florián Hodek
Štefan Hrnčiar
Filip Chvila
Ján Kazička
Jozef Kazička
Ondrej Kočišek
Jozef Kohút
Matej Kohút
Jozef Kovár
Pavel Lisý
Ondrej Malec
Štefan Mračka
Ján Nitschneider
Michal Petrik
Ján Polák
Ján Polák
Vendelín Polák
Teodor Polák
Blažej Ráchal
František Rudavský
Ondrej Rudavský
Martin Sedlák
František Smák
Ondrej Smák
Ondrej Smák
Ján Špergl
Pavel Špergl
Vít Špergl
Štefan Špoták
Urban Tuscher
Ondrej Vanek
Ondrej Vanek
František Vrátny","-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-","-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-"
"Kríž na pamiatku padlých vojakov v I. svetovej vojne, Studienka",Bratislavský,Malacky,Studienka,Obec Studienka leží uprostred Záhorskej nížiny v Bratislavskom samosprávnom kraji a prináleží k okresu Malacky. Prvá písomná zmienka pochádza z roku 1592 a súčasnosti tu žije viac ako 1500 obyvateľov.,Kríž sa nachádza v parku neďaleko Rímskokatolíckeho kostola sv. Štefana kráľa.,48.526145 17.135882,"Na snímke je kríž na pamiatku padlých vojakom v I. svetovej vojne, na ktorom figuruje 37 mien padlých vojakov. Bol postavený v roku 1922 z finančného príspevku obyvateľov tých vojakov, ktorí sa nevrátili z vojny ako aj rodín amerických Slovákov. V hornej časti objektu je zobrazený kríž s Pietou.","Ján Badura
Jozef Chvála
Matej Curka
Pavel Gabriš
Ján Hlavatý
Jozef Ifka
Štefan Ivan
Michal Jurik
František Koporec
Ján Kadliček
Ján Mlynarovič
Štefan Malý
Demian Malý
Ľudevít Majek
Pavel Nízky
Štefan Orgoň
Jozef Orgoň
Jozef Hruz
Ján Olach
František Pavelka
Ján Rakar
Ján Slezák
František Šišolák
Jozef Smolarik
Karol Šeffer
Jozef Travnyk
Ondrej Uller
Jozef Vicen
Ján Vicen
Gašpar Vicen
Augustín Vlček
Pavel Vrablic
Ján Žilavý
Michal Žilavý
Štefan Malý
Pavel Valent
Ján Orgoň","-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-","-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-"
"Pomník padlým v I. a II. svetovej vojne, Suchohrad",Bratislavský,Malacky,Suchohrad,Obec Suchohrad leží na západe Záhorskej nížiny v okrese Malacky v Bratislavskom samosprávnom kraji. Prvá písomná zmienka o obci pochádza z roku 1600 a v súčasnosti tu žije viac ako 600 obyvateľov.,Pomník sa nachádza na námestí neďaleko konečnej zastávky a Rímskokatolíckeho kostola Krista Kráľa.,48.406807 16.856955,"Na snímke je pomník padlým vojakom v I. a II. svetovej vojne, na ktorom figuruje 27 mien padlých vojakov v I. a 7 mien v II. svetovej vojne. Je signovaný jeho autorom sochárom Dvořákom z Břeclavi a bol postavený v roku 1927.","Anton Jurkovič
Peter Lorencovič
Florian Moravek
Ignác Lim
Ján Sobolič
Ernest Edelstein
Ján Strna
Matej Danihel
Martin Surovič
František Beleš
Pavel Chrupka
Pavel Krajcír
Štefan Vrablec
Josef Orth
Ján Hausbrunár
Jan Pajpach
Julius Martinec
Ernst Sládek
Michal Krajčír
Ján Šteffek
Michal Surovič
Štefan Lenča
Ján Drobný
Michal Šlosár
Štefan Benka
Michal Petráš
Ján Prochazka
Josef Palka
August Grujbár
Michal Körmendy
Leopold Hooz
Ján Pláteník","1873
1877
1881
1882
1882
1882
1883
1885
1886
1886
1887
1887
1888
1888
1888
1889
1889
1890
1890
1893
1893
1893
1893
1894
1895
1895
1895
1896
1896
1896
1896
1898","1915
1917
1915
1914
1914
1914
1914
1916
1915
1917
1916
1915
1914
1915
1915
1914
1915
1916
1916
1917
1917
1915
1915
1916
1915
1918
1915
1917
1916
1916
1916
1917"
"Pomník padlým v I. a II. svetovej vojne, Veľké Leváre",Bratislavský,Malacky,Veľké Leváre,Obec Veľké Leváre leží v strednej oblasti Záhorskej nížiny v okrese Malacky v Bratislavskom samosprávnom kraji. Prvá písomná zmienka o usadlosti pochádza z roku 1378 a v súčasnej dobe tu žije viac ako 3500 obyvateľov.,Pomník sa nachádza na juhovýchodnej strane Rímskokatolíckeho kostola Mena Panny Márie pod schodmi.,48.500903 17.002583,"Na snímke je pomník padlým vojakom v I. a II. svetovej vojne, na ktorom figuruje 55 mien padlých vojakov v I. a 15 mien padlých v II. svetovej vojne. Pomník bol postavený v roku 1930. V hornej časti pomníka sa nachádza socha Ježiša Krista s rozopätými rukami a pod ňou anjel, držiaci v rukách umierajúceho vojaka.","František Antal
Anton Baláž
Ján Bordač
Štefan Bokol
Ľudevít Benhauser
Ľudevít Cach
Ján Čermák
Martin Dúnar
Jozef Dúška
Andrej Haffner
Ján Hollý
Ján Hollý
Ján Hollý
Matej Hrušovský
Michal Hóz
Michal Hollý
Jozef Horáček
Ján Híll
Ján Hóz
Ondrej Jurkovič
Matej Jurkovič
Ján Jurkovič
Anton Karásek
Štefan Kalivoda
Jozef Kopka
Rudolf Kovačovský
Ján Kuna
Michal Kuna
Ján Kuna
Jozef Kuna
Ferdinand Kaiser
Ján Kohútek
Jozef Lonček
Ján Michálek
Pavel Murányi
Štefan Muler
Rafael Muller
Viktor Pantl
Rafael Pavliš
Augustín Peller
Peter Matej Žiška
Štefan Príbila
Pavel Rigáň
Ján Rúža
Ján Saglena
Ondrej Sovinec
Štefan Šúrek
Jozef Šúrek
Ján Špaček
František Uhrinec
Jozef Walter
Ján Vrablic
Ján Valach
Arnold Walter
Anton Pavlík
Michal Vrablic","-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-","-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-"
"Pomník padlým v I. svetovej vojne, Vysoká pri Morave",Bratislavský,Malacky,Vysoká pri Morave,Obec Vysoká pri Morave leží v Bratislavskom samosprávnom kraji. Nachádza sa v okrese Malacky na juhozápade Záhorskej nížiny v blízkosti hraničnej rieky Morava. Prvá písomná zmienka o obci pochádza z roku 1271 a v súčasnosti tu žije viac ako 2200 obyvateľov.,Pomník sa nachádza v tesnej blízkosti Rímskokatolíckeho kostola sv. Ondreja.,48.330366 16.907781,"Na snímke je pomník padlým vojakom v I. svetovej vojne, na ktorom figuruje 95 mien padlých vojakov. Pomník bol postavený v roku 1930. Jeho centrálnym motívom je súsošie lúčiaceho sa vojaka so ženou a dieťaťom v objatí.","Štefan Dvoran
Jozef Novoveský
Peter Dvoran
Ján Kadnár
Jozef Visvader
Ján Ščepán
Ján Siládi
Ján Dvoran
František Húščava
Juraj Kadnar
Ján Čermák
Štefan Klačko
František Šablica
Ján Polák
Štefan Lisinovič
František Nespala
Ján Matejkovič
Ján Kovár
Jozef Šimunič
Štefan Nerád
Štefan Nerád
Ján Mardiak
Ignác Pajpach
Ján Radovič
Ján Ulehla
František Ščepán
Jozef Salay
Leopold Rücker
Jakob Sabol
Demian Nerád
Ján Jánsky
Michal Dvoran
František Hromádka
Ján Valovič
Karol Novák
Martin Novoveský
Ján Nerád
Jozef Kopča
Alojz Štefek
František Sedlák
Vendelín Ščepán
Jan Radovič
František Šimunič
Karol Benca
Alojz Baláž
František Dubníček
Arnold Smolinský
Albert Mardiák
Fabián Peško
Ignác Smolinský
Jozef Štefek
Pavel Morávek
František Kopča
Michal Gabriš
Ferdinand Kadnár
Ján Fischer
Pavel Škápik
Štefan Daráž
František Grujbar
Ľudevít Polák
Karol Klas
Pavel Vinohradský
Ondrej Ftáčnik
Štefan Schneider
František Kilyán
Jozef Danihelík
Albert Nespala
Ján Novoveský
Jozef Jurík
Ignác Smolinský
Ján Grunský
František Maroš
Michal Morávek
Juraj Ščepán
Ignác Bertovič
Ján Polák
Ján Petrsky
Pavel Kovár
Rudolf Grunsky
Ján Húščava
Ferdinand Novoveský
Ján Húščava
Jozef Ovcharovich
Karol Nerád
František Pavlačič
Ludevit Neubauer
Adolf Čermák
Ondrej Zeman
Florian Dinuš
František Ščepán
Ferdinand Horvát
Ignác Ščepán
Pavel Urbanič
Alojz Smolinský","1868
1870
1872
1874
1875
1876
1878
1878
1878
1879
1880
1880
1880
1880
1880
1881
1881
1881
1881
1883
1883
1884
1884
1884
1885
1886
1886
1886
1886
1886
1886
1887
1887
1887
1888
1888
1888
1888
1888
1888
1888
1888
1888
1889
1889
1889
1889
1890
1890
1891
1891
1891
1891
1891
1891
1891
1891
1891
1891
1891
1892
1892
1892
1892
1892
1892
1892
1892
1892
1893
1893
1893
1894
1894
1895
1895
1895
1895
1896
1896
1896
1897
1897
1897
1897
1897
1897
1897
1897
1897
1897
1898
1898
1900","1918
1919
1917
1917
1915
1914
1914
1915
1915
1916
1915
1915
1917
1918
1918
1914
1915
1917
1915
1916
1914
1916
1918
1914
1916
1914
1914
1919
1915
1918
1918
1915
1918
1914
1914
1914
1915
1915
1915
1916
1918
1915
1915
1915
1916
1917
1914
1914
1924
1914
1914
1914
1915
1915
1915
1916
1916
1916
1918
1915
1914
1915
1915
1915
1916
1916
1916
1918
1916
1914
1916
1916
1915
1916
1915
1916
1918
1918
1915
1916
1917
1916
1916
1916
1917
1917
1918
1918
1918
1920
1916
1916
1917
1918"
"Pomník padlým v I. a II. svetovej vojne, Záhorská Ves",Bratislavský,Malacky,Záhorská Ves,Najzápadnejšia obec na Slovensku Záhorská Ves na nachádza v Bratislavskom samosprávnom kraji v okrese Malacky. Prvá písomná zmienka o obci pochádza z obdobia okolo roku 1557 a v súčasnosti tu žije viac sako 1800 obyvateľov.,Pomník sa nachádza na malom námestí na styku ulíc Železničná a Hlavná.,48.380633 16.845609,"Na snímke je pomník padlým vojakom v I. a II. svetovej vojne, na ktorom figuruje 76 mien padlých vojakov v I. a 12 mien padlých v II. svetovej vojne. Pri menách 17 vojakov padlých v I. svetovej vojne sa nachádzajú fotomedailóny. Po architektonickej stránke je dotvorený motívom lúčiaceho sa vojaka s kľačiacou ženou a dieťaťom a v jeho dolnej časti sa nachádzajú symboly vojny - prekrížené zbrane a čapica. Pomník postavil Spolok vojnových invalidov v roku 1927.","František Grujbar
Jan Šišovič
František Klas
Michal Tomašek
Vendelín Danihel
Michal Vilim
Vendelín Hajzel
Pavel Walla
Leopold Horňak
Vendelín Nerad
Jan Král
Florian Pavešič
Tomáš Vicen
Jan Voltemar
Vedelín Surovič
Michal Gbelský
František Juriga
František Slavik
Ciril Pavešič
Jan Drahoš
Rudolf Popp
Filip Režny
Štefan Slavik
František Hajzel
Jozef Mendl
Pavel Orth
František Goldšmid
Jan Strna
Pavel Zvolsky
František Danihel
Jan Šimek
Jan Nerád
Michal Šimkovič
Jozef Sobolič
Jan Mizner
Pavel Slavik
Ludvik Uher
Michal Hromadka
Jozef Homer
Martin Matejkovič
Štefan Žvach
Jozef Balaš
Jozef Müller
Tomaš Režny
Tomaš Gbelsky
Matej Lenča
Pavel Fus
František Valentovič
Tomaš Rozbora
František Matejkovič
Vendelín Matejkovič
Ciril Danihel
Rudolf Nerád
Jakub Mošovský
František Žvach
Rudolf Jánoš
Štefan Šárközy
František Müller
František Pavešič
Jan Brinich
Jozef Šišovič
Karl Wišvader
Štefan Pollak
Alojz Obselka
Rudolf Borecký
Karol Kadera
Martin Režny
Michal Hlavenka
Matěj Danihel
Leopold Vicen
Viktor Borecký
Pavel Siladi
Jozef Lim
Jan Pavešič
Jozef Režny
Karol Veleba","1866
1869
1873
1873
1875
1876
1876
1877
1877
1878
1878
1878
1879
1879
1880
1881
1881
1882
1883
1883
1883
1883
1884
1884
1884
1884
1884
1884
1885
1885
1886
1886
1887
1887
1887
1888
1888
1888
1889
1889
1890
1890
1890
1891
1891
1891
1892
1892
1892
1892
1893
1893
1893
1893
1894
1894
1894
1894
1894
1895
1895
1896
1896
1896
1896
1896
1896
1896
1897
1897
1897
1897
1897
1897
1897
1898","1917
1917
1918
1917
1914
1916
1915
1917
1915
1918
1917
1916
1917
1919
1914
1917
1914
1914
1914
1915
1914
1915
1915
1915
1915
1918
1915
1915
1918
1915
1915
1915
1916
1917
1916
1914
1917
1917
1915
1917
1915
1914
1921
1916
1914
1915
1915
1914
1917
1915
1915
1916
1915
1916
1917
1915
1916
1915
1915
1915
1916
1916
1918
1916
1915
1918
1917
1918
1918
1916
1918
1918
1918
1919
1916
1916"
"Pomník padlým v I. a II. svetovej vojne, Závod",Bratislavský,Malacky,Závod,Obec Závod leží na severozápade strednej oblasti Záhorskej nížiny v Bratislavskom samosprávnom kraji v okrese malacky. Prvá písomná zmienka pochádza z roku 1557 a v súčasnosti tu žije 2800 obyvateľov.,Na námestí v parku pred Rímskokatolíckym kostolom sv. Michala archanjela.,48.544916 17.032397,"Na snímke je pomník padlým vojakom v I. a II. svetovej vojne, na ktorom figuruje 50 mien padlých vojakov v I. a 4 mená padlých v II. svetovej vojne. Hornú časť pomníka uzatvára kríž a pod ním Pieta. Postavený bol v roku 1921 nákladom občanov obce Závod.","Martin Vrablec
Michal Puškač
Vendelín Šišolák
Jozef Majzun
Jozef Kopjár
Ján Benkovič
Michal Knotek
Martin Žák
Martin Šišolák
František Bernadič
Štefan Hasák
Florian Jurkovič
Štefan Gajda
Florián Šurina
Ján Smrtič
Ján Trajlinek
Jozef Vrablec
Martin Drahoš
Ján Šišolák
Ignác Benkovič
Štefan Procháska
Ferdinand Huttya
Štefan Knotek
Pavel Horváth
Jozef Majzun
Florian Hurbanek
Martin Drahoš
Michal Prevaj
Štefan Milac
Vendelín Gajda
Vendelín Stanek
Ján Štetina
Jozef Studenič
Jozef Knotek
Ján Šišolák
Vendelín Pavelka
Štefan Šimkovič
Ján Prevaj
Štefan Kopjár
Pavel Benkovič
Pavel Chovanec
Michal Vilém
František Huttya
Jozef Prevaj
Ján Škápik
Štefan Drahoš
Pavel Žák
Vendelín Vida
Štefan Stanek
Michal Studenič","1874
1875
1877
1879
1880
1881
1882
1883
1883
1884
1885
1886
1886
1887
1887
1889
1889
1889
1890
1890
1890
1891
1891
1891
1891
1891
1891
1892
1892
1892
1892
1893
1893
1894
1894
1894
1894
1895
1895
1895
1895
1895
1896
1896
1896
1896
1897
1897
1898
1898","1915
1915
1915
1915
1917
1917
1915
1916
1914
1914
1914
1914
1918
1914
1914
1915
1915
1915
1918
1914
1917
1915
1914
1916
1915
1915
1918
1916
1916
1915
1915
1916
1915
1915
1915
1915
1915
1915
1918
1918
1918
1916
1915
1916
1918
1915
1918
1916
1917
1916"
"Pomník padlým v I. a II. svetovej vojne, Zohor",Bratislavský,Malacky,Zohor,Obec Zohor leží v južnej časti na terase Záhorskej nížiny v okrese Malacky v Bratislavskom samosprávnom kraji. Prvá písomná zmienka o usadlosti na tomto území sa viaže k roku 1314 a v súčasnosti tu žile asi 3300 obyvateľov.,Pomník sa nachádza neďaleko Rímskokatolíckeho kostola sv. Margity Antiochijskej v parku.,48.314178 16.982372,"Na snímke je pomník padlým vojakom v I. a II. svetovej vojne, na ktorom figuruje 88 mien padlých vojakov v I. a 2 mená padlých v II. svetovej vojne. Pri menách 13 z nich sa nenachádzajú fotomedailóny. V hornej časti architekt pomníka sochár Dvořák z Břeclavi zobrazil postavu Ježiša Krista a pri jeho nohách umierajúceho vojaka. Pomník je signovaný a bol postavený v roku 1924.","Jan Mifkovič
Vendel Lazar
Jan Ščasný
Ignác Valovič
František Ribár
Michal Hlavenka
Vojtěch Hrica
Tomaš Kostka
Štefan Ružička
Jan Didák
Tomaš Kostka
Jozef Dudek
Kašpar Štefanovič
Michal Tomašek
Jan Matlovič
Martin Lazar
Tomáš Mifkovič
Michal Ščasný
Jozef Mifkovič
Matěj Kovár
Tomaš Vlček
Valent Ribár
Martin Šteffek
Michal Jurkovič
Macej Mifkovič
Martin Lukovský
Jan Bertovič
Jan Vasek
Aloiz Stroš
František Ščasný
Matěj Hrica
František Antal
Fabiš Havran
Michal Beleš
Nikodém Salaba
Ondra Valent
Štefan Spusta
Tomáš Mifkovič
Tomáš Hrica
Martin Štefek
Jan Vlček
Jan Križan
Vendel Ribar
Tomaš Ščasný
Karol Medlič
Tomaš Kovár
Kašpar Ščasný
Štefan Križan
Macej Vlček
František Ščasný
Jakub Bertovič
Tomaš Mifkovič
Štefan Vachálek
Kašpar Ožvold
Tomaš Jankovič
Jan Mackovič
Peter Havran
Jan Slezák
František Mifkovič
Ferdinand Mackovič
Matěj Slezák
Jakub Ribar
Bedrich Braunecker
Jakub Vachálek
Štefan Pavlásek
Jan Hubka
Jozef Miko
Michal Lackó
Jan Sloboda
Macej Polák
Blažej Cabaj
Valent Ribár
Štefan Lukovský
Karol Havlik
Martin Struhár
Jan Sabol
Martin Valentin
Štefan Stribrnský
František Valovič
František Sloboda
Jozef Štefanovič
Jan Bertovič
Tomaš Komárek
Jan Matlovič
František Havlik
Valent Spusta
Rudolf Matlovič
Pavel Mikuš","1868
1870
1870
1872
1873
1873
1875
1876
1876
1877
1877
1877
1878
1878
1878
1879
1880
1881
1882
1882
1882
1882
1883
1884
1884
1884
1884
1884
1885
1885
1885
1885
1885
1885
1886
1886
1886
1887
1887
1887
1888
1889
1889
1890
1890
1890
1890
1890
1890
1891
1891
1891
1891
1891
1891
1891
1891
1892
1892
1892
1892
1892
1892
1893
1893
1893
1894
1894
1894
1894
1894
1894
1894
1895
1896
1896
1896
1896
1896
1896
1896
1897
1897
1898
1898
1898
1898
1899","1916
1918
1919
1916
1916
1918
1917
1917
1917
1914
1914
1915
1915
1918
1918
1915
1918
1915
1915
1915
1918
1920
1914
1914
1914
1914
1915
1915
1914
1915
1915
1915
1918
1919
1914
1914
1915
1914
1914
1918
1914
1914
1918
1914
1915
1915
1918
1918
1923
1914
1914
1914
1915
1915
1916
1917
1918
1915
1914
1917
1917
1918
1919
1915
1915
1917
1914
1915
1915
1915
1916
1917
1917
1915
1916
1916
1917
1917
1917
1917
1918
1916
1917
1916
1917
1918
1919
1917"
"Pomník padlým v I. svetovej vojne, Staré Mesto (Košice)",Košický,Košice I,Košice – mestská časť Staré Mesto,"Staré mesto je mestská časť východoslovenskej metropoly Košice, ktoré ležia vo Východoslovenskej nížine. Prvá písomná zmienka o usadlosti na tomto území pochádza z roku 1230 a v súčasnosti tu žije vyše 20.000 obyvateľov.",Pomník sa nachádza na Verejnom cintoríne Košice v sektore č. 10.,48.694829 21.25664,"Na snímke je pomník padlým vojakom v I. svetovej vojne - dielo akad. soch. Juraja Bartusza a arch. Viktora Malinovského z roku 1983, zobrazujúci vojaka v zákope.",-,-,-
"Pomník padlým v I. a II. svetovej vojne, Poľov (Košice)",Košický,Košice II,Košice – mestská časť Poľov,"Poľov je mestská časť východoslovenskej metropoly Košice, ktoré ležia vo Východoslovenskej nížine. Prvá písomná zmienka o usadlosti na tomto území pochádza z roku 1248 a v súčasnosti tu žije vyše 1100 obyvateľov.",Pomník sa nachádza pri dome smútku na cintoríne.,48.661989 21.198777,"Na snímke je pomník padlým vojakom v I. a II. svetovej vojne, na ktorom figuruje 5 mien padlých v I. a 9 mien padlých v II. svetovej vojne. Autorom pomníka odhaleného v roku 100. výročia začiatku I. svetovej vojny je akad. soch. Ján Lukács","Štefan Kozel
Juraj Múdry
Juraj Piroško
Ján Timko
Ján Vargovčík","-
-
-
-
-","-
-
-
-
-"
"Pomník padlým v I. a II. svetovej vojne, Seňa",Košický,Košice-okolie,Seňa,Obec Seňa leží v južnej časti Košickej kotliny na Sokoľanskom potoku v okrese Košice-okolie v Košickom samosprávnom kraji. Prvá písomná zmienka o obci sa datuje do roku 1249 a v súčasnosti tu žije vyše 2200 ľudí.,Pomník sa nachádza v tesnej blízkosti oboch kostolov v obci na hlavnej ulici.,48.558542 21.256998,"Na snímke je pomník padlým vojakom v I. a II. svetovej vojne, na ktorom figuruje 40 mien padlých v I. a 115 mien padlých v II. svetovej vojne. Autorom pomníka odhaleného v roku 2001 je Ing. arch. Milan Motýľ.","Imre Adám
András Andrejcsák
József Ahácz
Móricz Ábend
György Biák
János Czepliczki
Mihály Csizmár
József Dankó
Jakab Deuts
Ferencz Gulyás
János Horváth
László Horváth
András Hornyák
István Hudák
Pál Hricz
István Juhász
András Juhász
Pál Kovács
István Kovács
István Kresák
János Kender
József Kuzma
András Kandzer
József Krivda
Mátyás Kövesdi
András Lesko
János Lénárt
János Makó
Pál Molnár
János Olajos
György Paluscsák
Elek Rónai
Imre Szabó
János Szendrei
József Szinai
Péter Sedlák
György Tarnóczi
János Vaskó
János Vajda
Imre Zsihala","-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-","-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-"
"Pomník padlým v I. svetovej vojne, Ďurkov",Košický,Košice-okolie,Ďurkov,Obec Ďurkov leží vo východnej časti Košickej kotliny na ľavostrannom prítoku Oľšavy v okrese Košice okolie v Košickom samosprávnom kraji . Prvá písomná zmienka o obci pochádza z roku 1323 a v súčasnosti tu žije približne 1700 obyvateľov.,Pomník sa nachádza pred záhradkou domu č. 235.,48.708573 21.439486,"Na snímke je pomník padlým vojakom v I. svetovej vojne, na ktorom figuruje 13 mien padlých vojakov.","Juraj Erlebach
Imrich Vitéz
Štefan Ferko
Ján Parnay
Ondrej Obšitoš
Kajodrej Valik
Juraj Verešpej
Ján Dionda
Štefan Cako
Michal Hakke
Ján Vešperej
Juraj Vano
Ján Bödi","-
-
-
-
-
-
-
-
-
-
-
-
-","-
-
-
-
-
-
-
-
-
-
-
-
-"
